unicode_character__c,unicode_index__c,order__c
ࠥ,2085.0,1533.0
ࠦ,2086.0,1534.0
ࠧ,2087.0,1535.0
ࠩ,2089.0,1537.0
ࠪ,2090.0,1538.0
ࠫ,2091.0,1539.0
ࠬ,2092.0,1540.0
࠭,2093.0,1541.0
࡙,2137.0,1585.0
࡚,2138.0,1586.0
࡛,2139.0,1587.0
࣓,2259.0,1707.0
ऄ,2308.0,1756.0
अ,2309.0,1757.0
आ,2310.0,1758.0
इ,2311.0,1759.0
ई,2312.0,1760.0
उ,2313.0,1761.0
ऊ,2314.0,1762.0
ऋ,2315.0,1763.0
ऌ,2316.0,1764.0
ऍ,2317.0,1765.0
ऎ,2318.0,1766.0
ए,2319.0,1767.0
ऐ,2320.0,1768.0
ऑ,2321.0,1769.0
ऒ,2322.0,1770.0
ओ,2323.0,1771.0
औ,2324.0,1772.0
क,2325.0,1773.0
ख,2326.0,1774.0
ग,2327.0,1775.0
घ,2328.0,1776.0
ङ,2329.0,1777.0
च,2330.0,1778.0
छ,2331.0,1779.0
ज,2332.0,1780.0
झ,2333.0,1781.0
ञ,2334.0,1782.0
ट,2335.0,1783.0
ठ,2336.0,1784.0
ड,2337.0,1785.0
ढ,2338.0,1786.0
ण,2339.0,1787.0
त,2340.0,1788.0
थ,2341.0,1789.0
द,2342.0,1790.0
ध,2343.0,1791.0
न,2344.0,1792.0
ऩ,2345.0,1793.0
प,2346.0,1794.0
फ,2347.0,1795.0
ब,2348.0,1796.0
भ,2349.0,1797.0
म,2350.0,1798.0
य,2351.0,1799.0
र,2352.0,1800.0
ऱ,2353.0,1801.0
ल,2354.0,1802.0
ळ,2355.0,1803.0
ऴ,2356.0,1804.0
व,2357.0,1805.0
श,2358.0,1806.0
ष,2359.0,1807.0
स,2360.0,1808.0
ह,2361.0,1809.0
क़,2392.0,1840.0
ख़,2393.0,1841.0
ग़,2394.0,1842.0
ज़,2395.0,1843.0
ड़,2396.0,1844.0
ढ़,2397.0,1845.0
फ़,2398.0,1846.0
य़,2399.0,1847.0
ॠ,2400.0,1848.0
ॡ,2401.0,1849.0
।,2404.0,1852.0
॥,2405.0,1853.0
०,2406.0,1854.0
१,2407.0,1855.0
२,2408.0,1856.0
३,2409.0,1857.0
४,2410.0,1858.0
५,2411.0,1859.0
६,2412.0,1860.0
७,2413.0,1861.0
८,2414.0,1862.0
९,2415.0,1863.0
॰,2416.0,1864.0
ॱ,2417.0,1865.0
ॲ,2418.0,1866.0
ॳ,2419.0,1867.0
ॴ,2420.0,1868.0
ॵ,2421.0,1869.0
ॶ,2422.0,1870.0
ॷ,2423.0,1871.0
ॸ,2424.0,1872.0
ॹ,2425.0,1873.0
ॺ,2426.0,1874.0
ॻ,2427.0,1875.0
ॼ,2428.0,1876.0
ॽ,2429.0,1877.0
ॾ,2430.0,1878.0
ॿ,2431.0,1879.0
ঀ,2432.0,1880.0
঄,2436.0,1884.0
অ,2437.0,1885.0
আ,2438.0,1886.0
ই,2439.0,1887.0
ঈ,2440.0,1888.0
উ,2441.0,1889.0
ঊ,2442.0,1890.0
ঋ,2443.0,1891.0
ঌ,2444.0,1892.0
঍,2445.0,1893.0
঎,2446.0,1894.0
এ,2447.0,1895.0
ঐ,2448.0,1896.0
঑,2449.0,1897.0
঒,2450.0,1898.0
ও,2451.0,1899.0
ঔ,2452.0,1900.0
ক,2453.0,1901.0
খ,2454.0,1902.0
গ,2455.0,1903.0
ঘ,2456.0,1904.0
ঙ,2457.0,1905.0
চ,2458.0,1906.0
ছ,2459.0,1907.0
জ,2460.0,1908.0
ঝ,2461.0,1909.0
ঞ,2462.0,1910.0
ট,2463.0,1911.0
ঠ,2464.0,1912.0
ড,2465.0,1913.0
ঢ,2466.0,1914.0
ণ,2467.0,1915.0
ত,2468.0,1916.0
থ,2469.0,1917.0
দ,2470.0,1918.0
ধ,2471.0,1919.0
ন,2472.0,1920.0
঩,2473.0,1921.0
প,2474.0,1922.0
ফ,2475.0,1923.0
ব,2476.0,1924.0
ভ,2477.0,1925.0
ম,2478.0,1926.0
য,2479.0,1927.0
র,2480.0,1928.0
঱,2481.0,1929.0
ল,2482.0,1930.0
঳,2483.0,1931.0
঴,2484.0,1932.0
঵,2485.0,1933.0
শ,2486.0,1934.0
ষ,2487.0,1935.0
স,2488.0,1936.0
হ,2489.0,1937.0
঺,2490.0,1938.0
঻,2491.0,1939.0
ঽ,2493.0,1941.0
ৎ,2510.0,1958.0
৏,2511.0,1959.0
৐,2512.0,1960.0
৑,2513.0,1961.0
৒,2514.0,1962.0
৓,2515.0,1963.0
৔,2516.0,1964.0
৕,2517.0,1965.0
৖,2518.0,1966.0
৘,2520.0,1968.0
৙,2521.0,1969.0
৚,2522.0,1970.0
৛,2523.0,1971.0
ড়,2524.0,1972.0
ঢ়,2525.0,1973.0
৞,2526.0,1974.0
য়,2527.0,1975.0
ৠ,2528.0,1976.0
ৡ,2529.0,1977.0
৤,2532.0,1980.0
৥,2533.0,1981.0
০,2534.0,1982.0
১,2535.0,1983.0
২,2536.0,1984.0
৩,2537.0,1985.0
৪,2538.0,1986.0
৫,2539.0,1987.0
৬,2540.0,1988.0
৭,2541.0,1989.0
৮,2542.0,1990.0
৯,2543.0,1991.0
ৰ,2544.0,1992.0
ৱ,2545.0,1993.0
৲,2546.0,1994.0
৳,2547.0,1995.0
৴,2548.0,1996.0
৵,2549.0,1997.0
৶,2550.0,1998.0
৷,2551.0,1999.0
৸,2552.0,2000.0
৹,2553.0,2001.0
৺,2554.0,2002.0
৻,2555.0,2003.0
ৼ,2556.0,2004.0
৽,2557.0,2005.0
৿,2559.0,2007.0
਀,2560.0,2008.0
਄,2564.0,2012.0
ਅ,2565.0,2013.0
ਆ,2566.0,2014.0
ਇ,2567.0,2015.0
ਈ,2568.0,2016.0
ਉ,2569.0,2017.0
ਊ,2570.0,2018.0
਋,2571.0,2019.0
਌,2572.0,2020.0
਍,2573.0,2021.0
਎,2574.0,2022.0
ਏ,2575.0,2023.0
ਐ,2576.0,2024.0
਑,2577.0,2025.0
਒,2578.0,2026.0
ਓ,2579.0,2027.0
ਔ,2580.0,2028.0
ਕ,2581.0,2029.0
ਖ,2582.0,2030.0
ਗ,2583.0,2031.0
ਘ,2584.0,2032.0
ਙ,2585.0,2033.0
ਚ,2586.0,2034.0
ਛ,2587.0,2035.0
ਜ,2588.0,2036.0
ਝ,2589.0,2037.0
ਞ,2590.0,2038.0
ਟ,2591.0,2039.0
ਠ,2592.0,2040.0
ਡ,2593.0,2041.0
ਢ,2594.0,2042.0
ਣ,2595.0,2043.0
ਤ,2596.0,2044.0
ਥ,2597.0,2045.0
ਦ,2598.0,2046.0
ਧ,2599.0,2047.0
ਨ,2600.0,2048.0
਩,2601.0,2049.0
ਪ,2602.0,2050.0
ਫ,2603.0,2051.0
ਬ,2604.0,2052.0
ਭ,2605.0,2053.0
ਮ,2606.0,2054.0
ਯ,2607.0,2055.0
ਰ,2608.0,2056.0
਱,2609.0,2057.0
ਲ,2610.0,2058.0
ਲ਼,2611.0,2059.0
਴,2612.0,2060.0
ਵ,2613.0,2061.0
ਸ਼,2614.0,2062.0
਷,2615.0,2063.0
ਸ,2616.0,2064.0
ਹ,2617.0,2065.0
਺,2618.0,2066.0
਻,2619.0,2067.0
਽,2621.0,2069.0
੒,2642.0,2090.0
੓,2643.0,2091.0
੔,2644.0,2092.0
੕,2645.0,2093.0
੖,2646.0,2094.0
੗,2647.0,2095.0
੘,2648.0,2096.0
ਖ਼,2649.0,2097.0
ਗ਼,2650.0,2098.0
ਜ਼,2651.0,2099.0
ੜ,2652.0,2100.0
੝,2653.0,2101.0
ਫ਼,2654.0,2102.0
੟,2655.0,2103.0
੠,2656.0,2104.0
੡,2657.0,2105.0
੢,2658.0,2106.0
੣,2659.0,2107.0
੤,2660.0,2108.0
੥,2661.0,2109.0
੦,2662.0,2110.0
੧,2663.0,2111.0
੨,2664.0,2112.0
੩,2665.0,2113.0
੪,2666.0,2114.0
੫,2667.0,2115.0
੬,2668.0,2116.0
੭,2669.0,2117.0
੮,2670.0,2118.0
੯,2671.0,2119.0
ੲ,2674.0,2122.0
ੳ,2675.0,2123.0
ੴ,2676.0,2124.0
੶,2678.0,2126.0
੷,2679.0,2127.0
੸,2680.0,2128.0
੹,2681.0,2129.0
੺,2682.0,2130.0
੻,2683.0,2131.0
੼,2684.0,2132.0
੽,2685.0,2133.0
੾,2686.0,2134.0
੿,2687.0,2135.0
઀,2688.0,2136.0
઄,2692.0,2140.0
અ,2693.0,2141.0
આ,2694.0,2142.0
ઇ,2695.0,2143.0
ઈ,2696.0,2144.0
ઉ,2697.0,2145.0
ઊ,2698.0,2146.0
